"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.204.137","192.168.204.2","DNS","77","Standard query 0xc472 A freeforsgames.com"
"2","0.179908","192.168.204.2","192.168.204.137","DNS","93","Standard query response 0xc472 A freeforsgames.com A 188.227.165.20"
"3","0.180593","192.168.204.137","188.227.165.20","TCP","66","49279  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"4","0.312098","188.227.165.20","192.168.204.137","TCP","60","80  >  49279 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"5","0.312349","192.168.204.137","188.227.165.20","TCP","60","49279  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"6","0.313212","192.168.204.137","188.227.165.20","HTTP","706","GET / HTTP/1.1 "
"7","0.313333","188.227.165.20","192.168.204.137","TCP","60","80  >  49279 [ACK] Seq=1 Ack=653 Win=64240 Len=0"
"8","0.587199","188.227.165.20","192.168.204.137","HTTP","418","HTTP/1.1 302 Moved Temporarily  (text/html) (text/html)"
"9","0.587211","188.227.165.20","192.168.204.137","TCP","60","80  >  49279 [FIN, PSH, ACK] Seq=365 Ack=653 Win=64240 Len=0"
"10","0.587213","192.168.204.137","188.227.165.20","TCP","60","49279  >  80 [ACK] Seq=653 Ack=366 Win=63876 Len=0"
"11","0.588558","192.168.204.137","188.227.165.20","TCP","60","49279  >  80 [FIN, ACK] Seq=653 Ack=366 Win=63876 Len=0"
"12","0.588562","188.227.165.20","192.168.204.137","TCP","60","80  >  49279 [ACK] Seq=366 Ack=654 Win=64239 Len=0"
"13","0.589845","192.168.204.137","192.168.204.2","DNS","126","Standard query 0xbc17 A 20.c368.464.75b43b.e3161.dec8.033da1.8c.hl39dj2plwle.lowamounts.in"
"14","0.729488","192.168.204.2","192.168.204.137","DNS","142","Standard query response 0xbc17 A 20.c368.464.75b43b.e3161.dec8.033da1.8c.hl39dj2plwle.lowamounts.in A 5.196.214.27"
"15","0.729987","192.168.204.137","5.196.214.27","TCP","66","49280  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"16","0.859588","5.196.214.27","192.168.204.137","TCP","60","80  >  49280 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"17","0.859676","192.168.204.137","5.196.214.27","TCP","60","49280  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
