"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.200.2.252","185.91.175.64","TCP","66","61558  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.175516","185.91.175.64","10.200.2.252","TCP","66","80  >  61558 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1367 SACK_PERM=1 WS=128"
"3","0.177379","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"4","0.178280","10.200.2.252","185.91.175.64","HTTP","136","GET /jsaxo8u/g39b2cx.exe HTTP/1.1 "
"5","0.366262","185.91.175.64","10.200.2.252","TCP","54","80  >  61558 [ACK] Seq=1 Ack=83 Win=14720 Len=0"
"6","0.525151","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=1 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"7","0.538803","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=1368 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"8","0.539062","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=2735 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"9","0.539173","185.91.175.64","10.200.2.252","TCP","60","80  >  61558 [PSH, ACK] Seq=4102 Ack=83 Win=14720 Len=6 [TCP segment of a reassembled PDU]"
"10","0.539817","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=2735 Win=65536 Len=0"
"11","0.539898","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=4108 Win=65536 Len=0"
"12","0.607158","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=4108 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"13","0.607459","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=5475 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"14","0.607639","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=6842 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"15","0.608164","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=6842 Win=65536 Len=0"
"16","0.621139","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=8209 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"17","0.621396","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=9576 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"18","0.621573","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=10943 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"19","0.622146","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=9576 Win=65536 Len=0"
"20","0.622223","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=12310 Win=65536 Len=0"
"21","0.716353","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=12310 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"22","0.716628","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=13677 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"23","0.717364","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=15044 Win=65536 Len=0"
"24","0.729919","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=15044 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"25","0.730225","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=16411 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"26","0.730402","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=17778 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"27","0.730590","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=19145 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"28","0.730929","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=17778 Win=65536 Len=0"
"29","0.731850","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=20512 Win=65536 Len=0"
"30","0.784334","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=20512 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"31","0.784641","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=21879 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"32","0.785348","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=23246 Win=65536 Len=0"
"33","0.797919","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=23246 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"34","0.798254","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=24613 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"35","0.798446","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=25980 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"36","0.798941","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=25980 Win=65536 Len=0"
"37","0.811922","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=27347 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"38","0.812250","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=28714 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"39","0.812442","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [PSH, ACK] Seq=30081 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"40","0.812618","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=31448 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"41","0.812948","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=28714 Win=65536 Len=0"
"42","0.813022","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=31448 Win=65536 Len=0"
"43","0.894855","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=32815 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"44","0.895133","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=34182 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"45","0.895878","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=34182 Win=65536 Len=0"
"46","0.907520","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=35549 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"47","0.907819","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=36916 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"48","0.907998","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=38283 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"49","0.908554","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=36916 Win=65536 Len=0"
"50","0.908625","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=39650 Win=65536 Len=0"
"51","0.908752","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=39650 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"52","0.921093","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=41017 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"53","0.921331","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=42384 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"54","0.922099","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=42384 Win=65536 Len=0"
"55","0.922537","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=43751 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"56","0.923018","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=45118 Win=65536 Len=0"
"57","0.962254","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=45118 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"58","0.962526","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=46485 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"59","0.963262","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=47852 Win=65536 Len=0"
"60","0.976010","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=47852 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"61","0.988184","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=49219 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"62","0.988464","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=50586 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"63","0.989188","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=50586 Win=65536 Len=0"
"64","0.989886","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [PSH, ACK] Seq=51953 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"65","0.990807","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=53320 Win=65536 Len=0"
"66","1.040029","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=53320 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"67","1.040354","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=54687 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"68","1.040683","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=56054 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"69","1.040779","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=57421 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"70","1.040910","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=56054 Win=65536 Len=0"
"71","1.041045","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=58788 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"72","1.041712","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=58788 Win=65536 Len=0"
"73","1.053780","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=60155 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"74","1.054674","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=61522 Win=65536 Len=0"
"75","1.071867","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=61522 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"76","1.072188","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=62889 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"77","1.072743","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=64256 Win=65536 Len=0"
"78","1.085625","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=64256 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"79","1.097155","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=65623 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"80","1.097460","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=66990 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"81","1.097670","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=68357 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"82","1.097864","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=69724 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"83","1.098046","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=71091 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"84","1.098177","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=66990 Win=65536 Len=0"
"85","1.098250","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=69724 Win=65536 Len=0"
"86","1.099154","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=72458 Win=65536 Len=0"
"87","1.099599","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=72458 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"88","1.138110","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=73825 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"89","1.138414","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=75192 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"90","1.138625","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=76559 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"91","1.138811","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=77926 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"92","1.138990","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=79293 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"93","1.139118","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=75192 Win=65536 Len=0"
"94","1.139190","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=77926 Win=65536 Len=0"
"95","1.140094","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=80660 Win=65536 Len=0"
"96","1.152055","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=80660 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"97","1.152324","185.91.175.64","10.200.2.252","TCP","1421","80  >  61558 [ACK] Seq=82027 Ack=83 Win=14720 Len=1367 [TCP segment of a reassembled PDU]"
"98","1.152502","185.91.175.64","10.200.2.252","HTTP","1416","HTTP/1.1 200 OK "
"99","1.153049","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=83394 Win=65536 Len=0"
"100","1.364900","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [ACK] Seq=83 Ack=84756 Win=64000 Len=0"
"101","1.557035","10.200.2.252","185.91.175.64","TCP","54","61558  >  80 [RST, ACK] Seq=83 Ack=84756 Win=0 Len=0"
"102","4.392914","10.200.2.252","188.120.225.17","TCP","66","61559  >  8080 [SYN] Seq=0 Win=40960 Len=0 MSS=1460 WS=1 SACK_PERM=1"
"103","4.565754","188.120.225.17","10.200.2.252","TCP","66","8080  >  61559 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1367 WS=8 SACK_PERM=1"
"104","4.566782","10.200.2.252","188.120.225.17","TCP","54","61559  >  8080 [ACK] Seq=1 Ack=1 Win=40960 Len=0"
"105","4.569784","10.200.2.252","188.120.225.17","TCP","266","61559  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=40960 Len=212 [TCP segment of a reassembled PDU]"
"106","4.852391","188.120.225.17","10.200.2.252","TCP","54","8080  >  61559 [ACK] Seq=1 Ack=213 Win=65616 Len=0"
"107","4.853413","10.200.2.252","188.120.225.17","HTTP","556","POST / HTTP/1.1  (image/gif)"
"108","5.126483","188.120.225.17","10.200.2.252","TCP","54","8080  >  61559 [ACK] Seq=1 Ack=715 Win=65616 Len=0"
"109","5.818892","188.120.225.17","10.200.2.252","TCP","1421","8080  >  61559 [ACK] Seq=1 Ack=715 Win=65616 Len=1367 [TCP segment of a reassembled PDU]"
"110","5.833047","188.120.225.17","10.200.2.252","TCP","1421","8080  >  61559 [ACK] Seq=1368 Ack=715 Win=65616 Len=1367 [TCP segment of a reassembled PDU]"
